 Ver5.0 position,Systematic ID,Gene ,Gene description,Ver5.0 strain (vs M-2030H-U5),Ver5.0 strain (vs M-3030H-U5),Ver5.0 strain (vs M-4030H-U5),ade type,,Plate/well position,,,,,,,,,,,,,
V5-P32-40,SPAC1039.01,0,"amino acid permease, unknown 5",ver 2.0 to 5.0 New strain,ver 3.0 to 5.0 New strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P32-41,SPAC1039.08,0,serine acetyltransferase,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P32-42,SPAC1039.10,mmf2,homologous Pmf1p factor 1,ver 2.0 to 5.0 New strain,ver 3.0 to 5.0 New strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P32-43,SPAC105.02c,0,"ankyrin repeat protein, unknown biological role",ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P32-44,SPAC1071.12c,stp1,low molecular weight phosphotyrosine protein phosphatase,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P32-45,SPAC11D3.02c,0,ELLA family acetyltransferase,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P32-46,SPAC11D3.16c,0,sequence orphan,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P32-47,SPAC11E3.05,0,ubiquitin-protein ligase E3,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P32-48,SPAC12G12.16c,0,"nuclease, XP-G family",ver 2.0 to 5.0 New strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P32-49,SPAC13A11.05,0,peptidase family M17,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P32-50,SPAC13C5.05c,0,N-acetylglucosamine-phosphate mutase,ver 2.0 to 5.0 New strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P32-51,SPAC13C5.06c,mug121,sequence orphan,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P32-52,SPAC13G6.04,tim8,TIM22 inner membrane protein import complex subunit Tim8,ver 2.0 to 5.0 New strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P32-53,SPAC13G6.12c,chs1,chitin synthase I,ver 2.0 to 5.0 New strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P32-54,SPAC13G6.14,aps1,"diadenosine 5',5'''-p1,p6-hexaphosphate hydrolase Aps1",ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P32-55,SPAC13G7.09c,0,sequence orphan,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P32-56,SPAC144.06,apl5,AP-3 adaptor complex subunit Apl5,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P32-57,SPAC144.08,0,DNAJ domain protein Jac1,ver 2.0 to 5.0 New strain,ver 3.0 to 5.0 New strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P32-58,SPAC144.13c,srw1,CDK inhibitor Srw1,ver 2.0 to 5.0 New strain,ver 3.0 to 5.0 New strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P32-59,SPAC1486.10,thi1,transcription factor Thi1,ver 2.0 to 5.0 New strain,ver 3.0 to 5.0 New strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P32-60,SPAC1565.01,0,conserved fungal protein,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P32-61,SPAC1565.02c,0,GTPase activating protein,ver 2.0 to 5.0 New strain,ver 3.0 to 5.0 New strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P32-62,SPAC15E1.04,0,thymidylate synthase,ver 2.0 to 5.0 New strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P32-63,SPAC16.03c,ura2,dihydroorotase Ura2,ver 2.0 to 5.0 New strain,ver 3.0 to 5.0 New strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P32-64,SPAC16.05c,sfp1,transcription factor Sfp1,ver 2.0 to 5.0 New strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P32-65,SPAC1687.14c,0,"EF hand family protein, unknown role",ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P32-66,SPAC1687.17c,0,Der1-like (degradation in the ER) family,ver 2.0 to 5.0 New strain,ver 3.0 to 5.0 New strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P32-67,SPAC16C9.04c,0,CCR4-Not complex subunit Mot2,ver 2.0 to 5.0 New strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P32-68,SPAC1783.08c,rpl1502,60S ribosomal protein L15b,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P32-69,SPAC1786.01c,0,triacylglycerol lipase,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P32-70,SPAC17G6.04c,cpp1,protein farnesyltransferase beta subunit Cpp1,ver 2.0 to 5.0 New strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P32-71,SPAC17G6.08,pep7,prevacuole/endosomal FYVE tethering component Pep7,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P32-72,SPAC17G8.06c,0,dihydroxy-acid dehydratase,ver 2.0 to 5.0 New strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P32-73,SPAC17H9.09c,ras1,GTPase Ras1,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P32-74,SPAC17H9.12c,0,NADH-cytochrome reductase,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P32-75,SPAC1805.05,cki3,serine/threonine protein kinase Cki3,ver 2.0 to 5.0 New strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P32-76,SPAC1805.10,0,sequence orphan,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P32-77,SPAC186.07c,0,hydroxyacid dehydrogenase,ver 2.0 to 5.0 New strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P32-78,SPAC18B11.08c,0,conserved fungal protein,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P32-79,SPAC19B12.06c,0,protease,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 New strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P32-80,SPAC19G12.03,cda1,chitin deacetylase Cda1,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P32-81,SPAC19G12.05,0,mitochondrial citrate transporter,ver 2.0 to 5.0 New strain,ver 3.0 to 5.0 New strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P32-82,SPAC19G12.16c,adg2,conserved fungal protein,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P32-83,SPAC1A6.03c,0,phospholipase,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P32-84,SPAC1F12.10c,0,NADPH-hemoprotein reductase,ver 2.0 to 5.0 New strain,ver 3.0 to 5.0 New strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P32-85,SPAC1F7.08,fio1,iron transport multicopper oxidase Fio1,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P32-86,SPAC20G4.02c,fus1,formin Fus1,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P32-87,SPAC227.05,0,prefoldin subunit 4,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P32-88,SPAC227.18,lys3,"saccharopine dehydrogenase [NAD+, L-lysine forming]",ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P32-89,SPAC22A12.01c,pso2,DNA 5' exonuclease,ver 2.0 to 5.0 New strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P32-90,SPAC22A12.02c,mug103,sequence orphan,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P32-91,SPAC22A12.04c,rps2201,40S ribosomal protein S15a,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P32-92,SPAC22E12.11c,set3,histone lysine methyltransferase Set3,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P32-93,SPAC22F3.04,mug62,AMP binding enzyme,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P32-94,SPAC23C11.01,0,"ER membrane protein, ICE2 family",ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P32-95,SPAC23C4.08,rho3,Rho family GTPase Rho3,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P32-96,SPAC23H3.15c,0,sequence orphan,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P33-01,SPAC24C9.02c,0,cytochrome c1 heme lyase,ver 2.0 to 5.0 New strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P33-02,SPAC24C9.05c,mug70,conserved protein (fungal and plant),ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P33-03,SPAC24C9.07c,bgs2,"1,3-beta-glucan synthase subunit Bgs2",ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P33-04,SPAC24C9.15c,spn5,septin Spn5,ver 2.0 to 5.0 upgraded strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P33-05,SPAC24H6.02c,0,TIM23 translocase complex subunit Tim15,ver 2.0 to 5.0 New strain,ver 3.0 to 5.0 New strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P33-06,SPAC24H6.04,hxk1,hexokinase 1,ver 2.0 to 5.0 New strain,ver 3.0 to 5.0 New strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P33-07,SPAC25B8.08,0,conserved fungal family,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 New strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P33-08,SPAC25B8.18,0,mitochondrial electron carrier,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P33-09,SPAC26A3.04,rpl2002,60S ribosomal protein L20,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P33-10,SPAC26F1.14c,aif1,apoptosis-inducing factor homolog Aif1,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P33-11,SPAC2C4.06c,0,rRNA methyltransferase,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P33-12,SPAC2C4.10c,0,sequence orphan,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P33-13,SPAC2E1P3.01,0,zinc binding dehydrogenase,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P33-14,SPAC2E1P3.05c,0,fungal cellulose binding domain protein,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P33-15,SPAC2E1P5.01c,mns1,"mannosyl-oligosaccharide 1,2-alpha-mannosidase",ver 2.0 to 5.0 New strain,ver 3.0 to 5.0 New strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P33-16,SPAC2F7.11,nrd1,RNA-binding protein Nrd1,ver 2.0 to 5.0 New strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P33-17,SPAC30C2.07,0,sequence orphan,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P33-18,SPAC31F12.01,zds1,zds family protein Zds1,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P33-19,SPAC31G5.07,0,conserved fungal protein,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P33-20,SPAC31G5.21,0,human family 32A homolog,ver 2.0 to 5.0 New strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P33-21,SPAC343.15,tit1,tRNA isopentenyltransferase,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P33-22,SPAC3A11.09,sod22,plasma membrane alkali metal cation/H+ antiporter Sod22,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P33-23,SPAC3F10.10c,map3,pheromone M-factor receptor,ver 2.0 to 5.0 New strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P33-24,SPAC3F10.11c,abc2,glutathione S-conjugate-exporting ATPase Abc2,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P33-25,SPAC3F10.15c,spo12,Spo12 family protein,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P33-26,SPAC3A11.05c,kms1,meiotic spindle pole body protein Kms1,ver 2.0 to 5.0 New strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P33-27,SPAC3H1.09c,0,amino acid transporter,ver 2.0 to 5.0 New strain,ver 3.0 to 5.0 New strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P33-28,SPAC458.05,pik3,phosphatidylinositol 3-kinase Pik3,ver 2.0 to 5.0 New strain,ver 3.0 to 5.0 New strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P33-29,SPAC4A8.04,isp6,vacuolar serine protease Isp6,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P33-30,SPAC4C5.04,rad31,SUMO E1-like activator enzyme Rad31,ver 2.0 to 5.0 New strain,ver 3.0 to 5.0 New strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P33-31,SPAC4F10.05c,0,lipoate-protein ligase,ver 2.0 to 5.0 New strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P33-32,SPAC4F10.18,0,"WD repeat protein, human NUP37 family",ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P33-34,SPAC4G9.10,arg3,ornithine carbamoyltransferase Arg3,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P33-35,SPAC4H3.13,0,transcription factor Pcc1,ver 2.0 to 5.0 New strain,ver 3.0 to 5.0 New strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P33-36,SPAC513.05,ams1,alpha-mannosidase,ver 2.0 to 5.0 New strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P33-37,SPAC5D6.05,39702,mediator complex subunit Pmc6,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P33-38,SPAC607.09c,btn1,battenin CLN3 family protein,ver 2.0 to 5.0 New strain,ver 3.0 to 5.0 New strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P33-39,SPAC630.05,gyp7,GTPase activating protein Gyp7,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P33-40,SPAC637.10c,rpn10,19S proteasome regulatory subunit Rpn10,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P33-41,SPAC664.15,0,CCR4-Not complex subunit Caf4/Mdv1,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P33-42,SPAC652.01,0,conserved eukaryotic protein,ver 2.0 to 5.0 New strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P33-43,SPAC6B12.08,mug185,DNAJ domain protein Jjj family,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P33-44,SPAC6C3.02c,0,CHCH domain protein,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P33-45,SPAC6C3.04,cit1,citrate synthase,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P33-46,SPAC6G9.13c,bqt1,bouquet formation protein Bqt1,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P33-47,SPAC6G9.15c,0,sequence orphan,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P33-48,SPAC7D4.14c,0,sequence orphan,ver 2.0 to 5.0 New strain,ver 3.0 to 5.0 New strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P33-49,SPAC821.10c,sod1,superoxide dismutase Sod1,ver 2.0 to 5.0 New strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P33-50,SPAC821.11,pro1,gamma-glutamyl phosphate reductase Pro1,ver 2.0 to 5.0 New strain,ver 3.0 to 5.0 New strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P33-51,SPAC823.10c,0,mitochondrial carrier with solute carrier repeats,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P33-52,SPAC824.05,vps16,HOPS complex subunit Vps16,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P33-53,SPAC8C9.06c,0,mitochondrial translation regulator,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P33-54,SPAC8E11.01c,0,beta-fructofuranosidase,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P33-55,SPAC9.12c,atp12,F1-ATPase chaperone Atp12,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P33-56,SPAC926.02,0,conserved fungal protein,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P33-57,SPAC977.11,0,conserved fungal protein,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P33-58,SPAC9E9.13,wos2,p23 homolog,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P33-59,SPAC9E9.15,0,CIA30 family protein,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P33-60,SPACUNK4.12c,mug138,metallopeptidase,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P33-61,SPACUNK4.15,0,"2',3'-cyclic-nucleotide 3'-phosphodiesterase",ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P33-62,SPAP14E8.02,0,transcription factor,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P33-63,SPAP27G11.05c,vps41,vacuolar protein sorting-associated protein Vps41,ver 2.0 to 5.0 New strain,ver 3.0 to 5.0 New strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P33-64,SPAP27G11.06c,0,AP-1 adaptor complex subunit,ver 2.0 to 5.0 New strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P33-65,SPAP27G11.07c,0,serine/threonine protein kinase,ver 2.0 to 5.0 New strain,ver 3.0 to 5.0 New strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P33-66,SPAP27G11.10c,nup184,nucleoporin Nup184,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P33-67,SPAP27G11.15,slx1,structure-specific endonuclease catalytic subunit,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P33-68,SPAPB1A10.13,0,sequence orphan,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P33-69,SPAPB1A11.02,0,esterase/lipase,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P33-70,SPAPB1E7.02c,mcl1,DNA polymerase alpha accessory factor Mcl1,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P33-71,SPAPB24D3.10c,agl1,alpha-glucosidase Agl1,ver 2.0 to 5.0 New strain,ver 3.0 to 5.0 New strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P33-72,SPAPB2B4.07,0,"ubiquitin family protein, human UBTD1 homolog",ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P33-73,SPAPJ696.02,0,actin cortical patch component Lsb4,ver 2.0 to 5.0 New strain,ver 3.0 to 5.0 New strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P33-74,SPAPYUG7.06,mug67,PPPDE peptidase family,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P33-75,SPBC106.01,mph1,dual specificity protein kinase Mph1,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P33-76,SPBC106.17c,cys2,homoserine O-acetyltransferase,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P33-77,SPBC1105.12,hhf3,histone H4 h4.3,ver 2.0 to 5.0 New strain,ver 3.0 to 5.0 New strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P33-78,SPBC1105.18c,0,peptide release factor,ver 2.0 to 5.0 New strain,ver 3.0 to 5.0 New strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P33-79,SPBC119.08,pmk1,MAP kinase Pmk1,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P33-80,SPBC11C11.06c,0,sequence orphan,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P33-81,SPBC11C11.09c,rpl502,60S ribosomal protein L5,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P33-82,SPBC11G11.01,fis1,mitochondrial fission protein Fis1,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P33-83,SPBC1271.11,0,tricarboxylate transporter,ver 2.0 to 5.0 New strain,ver 3.0 to 5.0 New strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P33-84,SPBC12D12.02c,cdm1,DNA polymerase delta subunit Cdm1,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P33-85,SPBC12D12.04c,pck2,protein kinase C (PKC)-like Pck2,ver 2.0 to 5.0 New strain,ver 3.0 to 5.0 New strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P33-86,SPBC12D12.05c,0,"mitochondrial carrier, calcium binding subfamily",ver 2.0 to 5.0 New strain,ver 3.0 to 5.0 New strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P33-87,SPBC1347.06c,cki1,serine/threonine protein kinase Cki1,ver 2.0 to 5.0 New strain,ver 3.0 to 5.0 New strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P33-88,SPBC1348.07,0,S. pombe specific DUF999 protein family 6,ver 2.0 to 5.0 New strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P33-89,SPBC13A2.02,0,nucleoporin Nup82,ver 2.0 to 5.0 New strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P33-90,SPBC13E7.08c,0,RNA polymerase II associated Paf1 complex,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P33-91,SPBC146.10,mug57,meiotically upregulated gene Mug57,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P33-92,SPBC1604.04,0,thiamine pyrophosphate transporter,ver 2.0 to 5.0 New strain,ver 3.0 to 5.0 New strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P33-93,SPBC1683.01,0,inorganic phosphate transporter,ver 2.0 to 5.0 New strain,ver 3.0 to 5.0 New strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P33-94,SPBC1685.02c,rps1202,40S ribosomal protein S12,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P33-95,SPBC1685.04,0,sequence orphan,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P33-96,SPBC16A3.01,spn3,septin Spn3,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P34-01,SPBC16C6.10,chp2,chromodomain protein 2,ver 2.0 to 5.0 New strain,ver 3.0 to 5.0 New strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P34-02,SPBC16E9.14c,zrg17,membrane transporter,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P34-03,SPBC16E9.16c,lsd90,sequence orphan,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 New strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
